"trial";"block";"subblock";"dependence";"pertur_strength";"reward_upper";"reward_lower";"pert_direct";"training";"preview";"last_change"
"1";"0";"1";"1";"1.375";"30";"70";"0";"1";"long";"1"
"2";"0";"1";"1";"1.375";"70";"30";"0";"1";"long";"1"
"3";"0";"1";"1";"1.375";"30";"70";"0";"1";"long";"1"
"4";"0";"1";"1";"1.375";"70";"30";"0";"1";"long";"1"
"5";"0";"1";"1";"1.375";"30";"70";"0";"1";"long";"1"
"6";"0";"1";"1";"1.375";"70";"30";"0";"1";"long";"1"
"7";"0";"1";"1";"1.375";"30";"70";"0";"1";"long";"0"
"8";"0";"1";"1";"1.375";"70";"30";"0";"1";"long";"0"
"9";"0";"1";"1";"1.375";"30";"70";"0";"1";"long";"0"
"10";"0";"1";"1";"1.375";"70";"30";"0";"1";"long";"0"
"11";"0";"1";"1";"1.375";"30";"70";"0";"1";"long";"0"
"12";"0";"1";"1";"1.375";"70";"30";"0";"1";"long";"0"
"13";"0";"1";"1";"1.375";"30";"70";"1";"1";"long";"0"
"14";"0";"1";"1";"1.375";"70";"30";"1";"1";"long";"0"
"15";"0";"1";"1";"1.375";"30";"70";"1";"1";"long";"0"
"16";"0";"1";"1";"1.375";"70";"30";"1";"1";"long";"0"
"17";"0";"1";"1";"1.375";"30";"70";"1";"1";"long";"0"
"18";"0";"1";"1";"1.375";"70";"30";"1";"1";"long";"0"
"19";"0";"1";"1";"1.375";"30";"70";"1";"1";"long";"0"
"20";"0";"1";"1";"1.375";"70";"30";"1";"1";"long";"0"
"21";"0";"1";"1";"1.375";"30";"70";"1";"1";"long";"0"
"22";"0";"1";"1";"1.375";"70";"30";"1";"1";"long";"0"
"23";"0";"1";"1";"1.375";"30";"70";"1";"1";"long";"0"
"24";"0";"1";"1";"1.375";"70";"30";"1";"1";"long";"0"
"1";"0";"2";"-1";"1.375";"30";"70";"0";"1";"long";"1"
"2";"0";"2";"-1";"1.375";"70";"30";"0";"1";"long";"1"
"3";"0";"2";"-1";"1.375";"30";"70";"0";"1";"long";"1"
"4";"0";"2";"-1";"1.375";"70";"30";"0";"1";"long";"1"
"5";"0";"2";"-1";"1.375";"30";"70";"0";"1";"long";"1"
"6";"0";"2";"-1";"1.375";"70";"30";"0";"1";"long";"1"
"7";"0";"2";"-1";"1.375";"30";"70";"0";"1";"long";"0"
"8";"0";"2";"-1";"1.375";"70";"30";"0";"1";"long";"0"
"9";"0";"2";"-1";"1.375";"30";"70";"0";"1";"long";"0"
"10";"0";"2";"-1";"1.375";"70";"30";"0";"1";"long";"0"
"11";"0";"2";"-1";"1.375";"30";"70";"0";"1";"long";"0"
"12";"0";"2";"-1";"1.375";"70";"30";"0";"1";"long";"0"
"13";"0";"2";"-1";"1.375";"30";"70";"1";"1";"long";"0"
"14";"0";"2";"-1";"1.375";"70";"30";"1";"1";"long";"0"
"15";"0";"2";"-1";"1.375";"30";"70";"1";"1";"long";"0"
"16";"0";"2";"-1";"1.375";"70";"30";"1";"1";"long";"0"
"17";"0";"2";"-1";"1.375";"30";"70";"1";"1";"long";"0"
"18";"0";"2";"-1";"1.375";"70";"30";"1";"1";"long";"0"
"19";"0";"2";"-1";"1.375";"30";"70";"1";"1";"long";"0"
"20";"0";"2";"-1";"1.375";"70";"30";"1";"1";"long";"0"
"21";"0";"2";"-1";"1.375";"30";"70";"1";"1";"long";"0"
"22";"0";"2";"-1";"1.375";"70";"30";"1";"1";"long";"0"
"23";"0";"2";"-1";"1.375";"30";"70";"1";"1";"long";"0"
"24";"0";"2";"-1";"1.375";"70";"30";"1";"1";"long";"0"
"1";"0";"3";"1";"1.375";"30";"70";"0";"1";"short";"1"
"2";"0";"3";"1";"1.375";"70";"30";"0";"1";"short";"1"
"3";"0";"3";"1";"1.375";"30";"70";"0";"1";"short";"1"
"4";"0";"3";"1";"1.375";"70";"30";"0";"1";"short";"1"
"5";"0";"3";"1";"1.375";"30";"70";"0";"1";"short";"1"
"6";"0";"3";"1";"1.375";"70";"30";"0";"1";"short";"1"
"7";"0";"3";"1";"1.375";"30";"70";"0";"1";"short";"0"
"8";"0";"3";"1";"1.375";"70";"30";"0";"1";"short";"0"
"9";"0";"3";"1";"1.375";"30";"70";"0";"1";"short";"0"
"10";"0";"3";"1";"1.375";"70";"30";"0";"1";"short";"0"
"11";"0";"3";"1";"1.375";"30";"70";"0";"1";"short";"0"
"12";"0";"3";"1";"1.375";"70";"30";"0";"1";"short";"0"
"13";"0";"3";"1";"1.375";"30";"70";"1";"1";"short";"0"
"14";"0";"3";"1";"1.375";"70";"30";"1";"1";"short";"0"
"15";"0";"3";"1";"1.375";"30";"70";"1";"1";"short";"0"
"16";"0";"3";"1";"1.375";"70";"30";"1";"1";"short";"0"
"17";"0";"3";"1";"1.375";"30";"70";"1";"1";"short";"0"
"18";"0";"3";"1";"1.375";"70";"30";"1";"1";"short";"0"
"19";"0";"3";"1";"1.375";"30";"70";"1";"1";"short";"0"
"20";"0";"3";"1";"1.375";"70";"30";"1";"1";"short";"0"
